[11-Dec-2021 15:36:11 UTC] PHP Fatal error:  Cannot use [] for reading in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 34
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 48
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 48
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: table in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 53
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 48
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: state_id in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 48
[12-Dec-2021 06:17:09 UTC] PHP Notice:  Undefined variable: table in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 53
[12-Dec-2021 06:19:01 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 06:19:01 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 06:19:01 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 06:21:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
[12-Dec-2021 06:21:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 33
[12-Dec-2021 06:21:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 35
[12-Dec-2021 06:22:57 UTC] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/studyfocus.in/public_html/cybertechMedia/api/new-study-api/search/filter-tutor.php on line 32
